"price,""size"",""rooms"",""elevator"",""bathrooms"",""air_cond"",""balcony"",""terrace"",""income"",""longevity"",""higher_stud"",""foreign"",""hospital"",""subway"",""university"",""intercity_bus"",""local_bus "",""flood"""
227000,60,2,1,1,1,0,1,10.357,19.9,21.915584,12.11,0.564320445110543,1.26990958797996,0.564320445110543,1.22501921368788,0.505656051324998,2.31825083574472
438000,96,2,1,2,1,0,1,12.645,12.58,37.186898,4.29,2.14579765126695,1.9968576785449,2.34307713433816,5.50435246069358,4.87165947602432,4.42900641252784
235000,84,3,1,1,1,0,0,13.064,23.98,38.689867,16.93,0.164353172493466,1.67201459362114,0.228965768237681,1.65334244730567,0.140369208112875,2.38986235646389
208000,44,2,0,1,0,0,0,13.411,23.91,35.384615,18.79,0.769345123204577,0.896247418774574,0.675001051678318,0.863731773381954,0.813003392893048,1.95058422689916
480000,115,4,1,2,1,0,1,22.958,42.23,60.592255,5.53,0.624270276376667,0.606179145710757,0.249068410890677,0.676175759099918,0.63222088682291,1.49612717011484
275000,82,3,1,1,1,0,1,9.621,18.87,22.157093,19.38,0.473582854382903,0.129103607738984,1.59816751908055,0.71377020479627,1.86061920377985,1.17874701863518
150000,40,1,0,1,1,0,0,10.627,21.88,24.631268,19.9,0.60149781337983,1.33206189341237,0.701116474301236,1.63919163912699,0.366913212346987,2.73228021844498
199900,69,3,0,1,1,0,1,12.606,25.1,32.762836,18.33,0.893615774443397,0.916457054574976,1.00017047297335,1.03180284811952,0.89051252300304,2.10511908653489
195000,64,1,1,1,0,0,0,10.479,25.06,25.675676,10.86,0.50858226103971,1.44295033790378,0.638377498385679,1.70721745431356,0.276462225574781,2.7415081024613
225000,114,3,0,1,0,1,1,10.701,8.12,25.734158,7.35,9.4432149696576,8.20991656139789,8.04809645427135,12.6206080748492,11.3352792428425,3.78245283983931
289000,104,3,0,1,0,0,0,15.66,41.56,42.446043,5.94,1.74267274615225,0.36611926301621,2.15775642662473,2.05335314726707,2.93245257212456,0.597032391174457
270000,89,3,1,2,0,0,0,14.049,23.19,39.855596,9.58,1.27136419881796,0.327315906390827,1.86599190751463,1.01559107290997,1.83917403847148,0.37538806006621
239900,188,5,0,1,1,1,1,8.257,15.1,11.590106,3.99,6.47881124387413,5.01132442117966,4.45580430125941,7.72802339389043,5.61924713058333,0.575237533950939
229000,98,4,1,1,0,0,1,11.766,19.12,24.861878,4.9,1.15050074626126,1.06406228734595,0.773006632750782,2.11509335018992,3.18436115907872,1.93070294940307
435000,108,3,1,2,1,0,0,13.279,4.03,41.964286,2.64,0.47888792545818,4.68848669547058,2.91366842852922,2.2420920927959,0.61542340773101,2.18684905081353
348000,86,3,1,1,1,0,0,17.144,21.32,55.656759,13.05,0.157212891792105,0.486562215169229,0.60691019040041,0.632222026558723,0.532918134918471,1.18814672894192
550000,123,4,0,3,1,1,1,20.326,24.75,44.281298,8.69,1.92156023009763,1.87984339884794,4.69985776946394,1.27131532234787,3.26852372292061,0.490587530314194
415000,127,2,1,2,0,0,1,14.967,18.07,41.746905,2.62,1.75672704387764,1.49115029524519,1.83353379126863,5.35845594040929,4.88527180155097,4.23343769624812
178000,57,1,1,1,1,0,0,8.157,14.01,21.052632,18.92,0.59791410328984,1.22131504720864,0.429987793800494,1.27347159167285,0.145630919537875,1.59958429812999
295000,89,3,1,1,1,0,1,11.187,19.39,23.847842,8.08,0.597646419028895,0.576122498374578,0.860959583040968,1.62337025955365,2.62842275054732,1.79956184508676
430000,107,3,1,2,1,0,1,14.967,18.07,41.746905,2.62,0.702668553902317,0.849727033924061,1.05699062650909,4.39579076412803,4.15302373839223,4.01875853865296
285000,101,4,1,1,1,0,0,15.044,31.86,36.15465,9.77,0.90899262201572,0.962426479380005,0.940496080515247,1.07549436303104,0.823910506246212,2.15506062237212
310000,130,4,1,2,1,1,1,12.081,21.1,30.555556,22.59,0.537740502585613,1.16314082020313,0.537740502585613,1.13248631962356,0.585230195113172,2.18664672139662
440000,118,3,0,3,1,0,1,13.824,16.1,35.34698,7.5,4.95374998250685,4.87168361533071,5.72528271543538,1.97831360845014,0.145451875511732,2.26978742558889
450000,92,3,1,2,0,0,1,14.786,13.49,43.12115,3.68,0.573236206111327,0.236178656350238,2.34625966652461,2.8955455387171,4.2446229442792,1.31638697284909
329000,80,3,1,1,1,0,1,17.074,29.19,49.594595,12.48,0.249552014562583,0.366731536145666,0.708202640517334,0.516612830711848,0.674412106829927,1.08892739677392
500000,136,3,1,2,1,0,1,12.63,13.63,32.815199,7.93,0.616647814939841,0.703062980370513,2.92546335475148,3.03415703076828,4.19049233649838,0.73291663718693
195000,54,1,1,1,0,0,0,10.899,15.16,32.265718,17.13,0.466259940894603,1.4344162126462,0.546112832705009,1.59312705594993,0.236851849391403,2.61538365259046
365000,120,4,1,1,0,0,1,14.169,37.83,32.793522,4.49,0.416634755777861,2.22029843522091,0.62633742222487,2.2141753222894,0.502934412772568,2.411533373129
250000,84,3,1,1,0,0,0,10.153,17.53,22.890295,13.06,1.36922437048867,0.383487831823301,2.08138381920852,1.50012940520181,2.39295885211454,0.561213467722805
169000,76,3,0,1,0,0,0,9.45,16.7,23.148148,18.17,0.552632489530676,1.92093150294312,0.463448768702212,1.96414191808922,0.707096105317856,1.86233142118761
449000,137,4,1,2,1,0,1,10.626,18.82,20.460048,17.97,1.0643175310425,0.043303667494734,1.99160525000866,1.08852577759844,2.04299239965022,0.636412904665723
295000,89,3,1,1,1,0,1,9.45,16.7,23.148148,18.17,0.617673137709433,1.8379017636681,0.410138813397804,1.88737356366396,0.626126060610475,1.75528343404286
420000,110,3,1,2,1,0,0,7.984,15.81,17.810458,12.65,0.67628631970941,2.25476218606434,0.134335344213594,2.33390409278682,1.00240455553814,1.37371072614041
360000,175,4,1,2,0,0,0,13.14,17.6,44.497608,10.18,0.61830438365349,2.85258791683607,0.764910162385818,2.91961838228944,0.859925136104734,1.00619258285375
289900,89,3,1,1,1,0,1,10.529,22.91,25.506446,24.78,1.13602269693348,0.314339654433557,1.76088891793248,0.886490728249787,1.77808421671879,0.494314410314103
369000,80,3,1,1,1,0,0,11.034,26.84,23.129252,13.12,0.88232539064397,0.275820994208679,1.07441305310856,0.153101109117225,1.28768697451706,1.02324970597207
529000,190,4,1,2,0,0,1,13.493,5,47.577093,4.55,0.621336758273853,0.888560745585493,0.84381380392852,3.95845329245883,3.70806036630711,4.14440149420206
230000,81,3,1,1,0,0,1,9.131,23.11,9.45758,8.88,1.553136933619,0.316548892498133,1.58429692796914,2.33339306383104,3.36867231589359,1.32227358015574
275000,115,4,1,2,1,0,1,12.962,31.68,29.727096,10.12,1.23538393544718,0.0970011923693937,1.9860185961849,2.54504244239543,3.50834433059077,1.04883453302561
184900,80,2,0,2,1,0,0,10.13,19.06,17.647059,7.02,5.97831434782062,4.51131073795788,4.09994000407763,8.41933794278492,6.69099255783702,0.643358771298018
489000,109,3,1,2,0,0,0,10.901,16.43,26.980198,19.98,0.506886758709416,1.56697872839853,0.477018000497476,1.63916740602709,0.33515378882171,1.42038056989108
410000,123,3,1,2,1,0,1,13.493,5,47.577093,4.55,0.717753172541799,0.979888823445993,1.01176401702284,4.19410323838131,3.90698415760447,4.17372148782726
335000,96,1,1,1,1,0,1,17.074,29.19,49.594595,12.48,0.208655353107668,0.479877870142204,0.548551875795346,0.620468036479441,0.532039333223958,1.21746534820514
297000,113,4,1,1,0,0,0,11.505,25.73,27.1777,11.83,0.48947037978695,0.726400161710408,1.21307595081466,1.45143778853522,0.956596548573376,2.48506780100248
495000,147,4,1,2,1,0,1,11.753,8.12,29.486617,7.64,1.03670506226293,0.741295525957439,0.267724694677253,2.66102283749335,3.20523342551137,2.89532618124573
