"price,""size"",""rooms"",""elevator"",""bathrooms"",""air_cond"",""balcony"",""terrace"",""income"",""longevity"",""higher_stud"",""foreign"",""hospital"",""subway"",""university"",""intercity_bus"",""local_bus "",""flood"""
185000,91,2,1,2,1,0,0,12.689,4.35,46.327,4.25,0.873360362520966,2.03173227829441,1.41039651967185,0.890931951926475,0.854135967487073
75000,86,4,1,1,0,0,0,8.406,12.3,16.149,10.13,0.439332196634378,2.24531394717079,2.21625585263504,0.0786658512249396,0.0530717457525769
126000,100,4,1,1,0,0,0,10.086,23.15,22.35,12.49,0.36320424835084,0.602535811808602,1.11873046379584,0.122331069515405,0.594420829727182
61000,90,3,0,1,1,1,0,12.396,24.85,38.149,11.92,0.911014532749702,0.686292377199684,1.08800058596674,0.802187232512654,0.36245610397951
115000,82,3,0,1,0,0,0,8.087,5.26,20.022,19.82,1.54138176211392,1.90821409856088,0.572554944134179,0.48362666193499,0.445900644261027
106500,96,2,1,2,1,0,0,9.424,15.75,15.324,17.89,3.8582862032292,4.70365504985461,0.375706263518483,0.356865294775868,2.29238164240233
152900,71,2,1,1,1,0,0,11.638,20.01,33.456,10.49,0.385059548313094,0.221213241344792,1.42168677596598,0.852481568921756,0.531780253779121
70000,62,3,0,1,0,0,0,9.611,18.1,19.774,17.69,0.90929651145382,1.44119616165077,0.871950919366369,0.428246967181669,1.03960064033744
250000,133,4,1,2,0,0,1,20.701,26.42,58.668,5.61,0.664232313092363,0.612714401073995,0.609679911491941,0.513765006875818,0.0424536622145
243000,81,2,1,2,0,0,1,15.055,7.72,42.953,7.52,1.04485607096756,8.12792842844696,1.08082060317456,0.462586222378696,5.75616204934262
197000,92,2,1,2,0,1,1,15.055,7.72,42.953,7.52,1.34507105250466,8.54890984843828,1.34557120164203,0.0576669255946836,6.197943250801
119000,90,3,1,1,0,0,0,14.074,24.33,43.822,14.27,0.98476873708114,0.138366837284064,0.44917304407157,0.0761287325510996,0.332176580486745
88000,70,3,1,1,1,0,0,11.933,22.93,34.99,13.3,0.538629249368466,0.813150468106919,1.3377464142363,0.41081761935672,0.1102522533042
124900,76,3,0,2,1,0,0,13.544,23.62,40.571,14.64,0.14807248362961,0.202718327280129,1.0664843356546,1.03917010952193,0.396692388224582
142000,95,3,1,1,0,0,0,11.866,31.47,29.675,7.21,0.707106181016171,0.159460776569731,0.701980164486774,0.196188530949722,0.423068077016136
234000,90,2,1,2,1,0,1,15.055,7.72,42.953,7.52,1.03045185951218,8.26153386024824,1.05250088606852,0.383455685323474,5.88639468916283
135000,102,3,0,1,1,0,0,11.177,20.77,27.238,13.16,0.140645839415984,0.742446785967712,1.30206433309589,0.114583341292245,0.267837306299646
239000,128,4,1,2,1,1,1,14.997,23.86,40.559,6.99,0.599864875001617,0.680893536396408,1.05279940877199,0.0849236652114571,0.863748375001965
184000,133,3,1,2,1,0,0,12.029,16.62,32.956,7.54,0.726749420068903,0.917050917786708,0.837833746867002,0.0581399778753033,1.03742896942913
135000,93,3,1,1,0,1,1,19.435,32.04,56.286,8.14,0.309626562877005,0.293034960742635,0.915032062666056,0.872144785306384,0.33297179137658
243000,81,2,1,2,0,0,1,15.055,7.72,42.953,7.52,1.03586927763772,8.13831776519292,1.07080397141026,0.461444725491025,5.76553383096959
108000,107,4,0,2,0,0,0,9.725,15.55,22.209,10.73,1.28059053927148,1.03090672979596,1.97522754527064,1.4600125343739,0.772162492889474
155000,115,3,1,1,1,1,1,12.752,9.65,38.517,8.65,0.762452874719463,1.9013176465806,2.00115655116278,0.110874973673359,0.0355960419052357
375000,169,4,1,2,0,0,0,19.435,32.04,56.286,8.14,0.498269970286531,0.334508979837689,0.939126050533904,0.797206781045136,0.370758766759908
220000,131,3,0,1,0,0,0,10.936,18.36,26.172,12.66,1.16992746058565,1.37150299671528,0.382615935811547,0.119278517410283,0.830899419586907
160000,118,4,1,1,0,0,0,14.18,30.2,40.038,7.99,0.648621611384764,0.206466198754192,0.76610295885289,0.151562273672972,0.364389323358598
124900,69,3,0,1,1,1,0,11.638,20.01,33.456,10.49,0.502646587334725,0.24475197699085,1.18744828338735,1.02715748877031,0.61770572911404
255000,221,3,0,3,0,0,1,12.689,4.35,46.327,4.25,0.593045171873474,2.32380567228377,1.71202335450155,0.744635332239342,0.786715158519202
88500,127,4,1,2,0,0,0,4.996,8.95,3.729,23.47,0.912159157362822,0.84809527653166,2.04566378079362,0.494094391699551,0.0793536073331386
47000,86,3,0,2,0,0,0,11.171,18.74,29.389,12.35,0.451115274041195,0.519743017433149,1.07064825635193,0.299978167137643,0.177037258436269
185500,143,4,0,2,0,0,0,10.208,17.05,18.478,10.51,1.73714704802719,1.33516471709789,2.03871135019018,0.365619582121442,1.45505026608966
117000,111,4,0,1,0,0,1,9.611,18.1,19.774,17.69,1.15076241452094,1.653066851919,0.791117814263723,0.411718982527995,0.876977017845705
235000,97,3,1,2,1,0,0,11.772,20.46,28.909,8.86,0.291076462405949,1.04471217363954,1.60502045137585,0.201519382334391,0.0259500158063138
107500,83,3,1,1,0,0,0,8.294,17.71,14.909,27.49,0.588652498532922,0.997182915608723,1.52321672223564,0.453751273717796,0.243336325902221
138900,121,4,0,2,0,1,0,8.294,17.71,14.909,27.49,0.593081113949273,1.07299993730849,1.60499021088684,0.461035930351334,0.26460939509267
67500,60,2,0,1,0,0,0,9.346,11.2,24.26,9.64,0.835848715937568,1.94778893232314,2.18973801154103,0.204189448874773,0.177710680204521
