"price,""size"",""rooms"",""elevator"",""bathrooms"",""air_cond"",""balcony"",""terrace"",""income"",""longevity"",""higher_stud"",""foreign"",""hospital"",""subway"",""university"",""intercity_bus"",""local_bus "",""flood"""
39000,75,2,0,1,0,0,1,5.042,15.0273224,2.861952862,1.78,1.85601256944074,1.60501680222615,0.441678656593563,1.6704343422189,0.528774342019495,1.02552344121503
238000,109,3,1,2,1,0,1,11.566,18.94889103,32.69342641,9.59,2.08001503856924,0.328758394534431,0.785328569128633,0.648743866905823,0.0390389955364004,0.250600164939159
185000,96,3,1,1,0,1,1,11.131,30.16194332,32.12192263,9.62,1.25180253140859,0.208014134687019,1.23627260265541,1.45923406027781,0.0659501073475773,0.76383936502515
499000,173,5,1,2,1,1,1,18.474,29.37771346,60.96169519,9.7,0.831510987790971,0.298273682736855,0.183984329013748,2.95128865794741,0.516528942740188,0.468067909178705
160000,76,3,1,1,0,0,0,13.319,24.17827298,41.35572139,11.2,0.985427532046137,0.0929284006554121,1.23717452244574,1.50227750936175,0.160707519591364,0.674419207091832
240000,129,3,1,2,0,1,0,17.143,28.00215401,46.5902233,11.9,0.48175579211799,0.294590479035346,0.797652709459832,0.499483889251415,0.276922668475309,0.491572843960846
284000,76,2,1,2,1,1,0,18.16,33.41176471,56.76392573,4.78,0.888447068886971,0.0673064667050887,0.472143484676426,2.97091427083386,0.55047809931326,0.682441305569993
278000,80,2,1,2,1,1,0,18.16,33.41176471,56.76392573,4.78,0.888447068886971,0.0673064667050887,0.472143484676426,2.97091427083386,0.55047809931326,0.682441305569993
363000,115,4,1,2,0,1,1,18.417,21.75249808,57.72357724,14.45,0.720919576225335,0.587356843591595,0.156021869220966,2.70761150759495,0.310792417981552,0.212622206201996
390000,200,5,1,2,0,0,1,17.229,23.23064113,57.16963449,13.32,0.566519438982557,0.606374338020086,0.0948623273522837,2.792469417344,0.408833179300291,0.394977652521841
510000,104,2,1,2,0,0,1,15.202,23.91984972,51.79487179,7.33,0.991316673441394,1.23482808426442,1.01824142876957,0.913271373612485,0.0837777250402767,0.0551534416915226
159000,42,1,0,1,1,0,0,22.341,35.46099291,69.30860034,2.28,0.363403259520243,0.320172412332928,0.907064654724857,2.40847975308617,0.32016786201264,0.212969865824504
294000,132,4,1,2,0,1,1,16.752,27.77202073,52.49169435,13.68,0.874203694434188,0.352470282028009,0.371810661080655,2.07682481179527,0.580555135076114,0.339819867346307
375000,125,4,1,2,1,0,1,18.682,26.62057044,62.37721022,6.31,0.930678195386428,0.436615332912338,0.429608989243892,2.58407788350443,0.282522329500087,0.280866895572654
400000,118,3,1,2,0,0,1,13.844,32.88590604,32.64573991,5.2,1.66625344409285,1.34854350394086,0.708788660381076,1.74577275102942,0.0469027923449801,1.0599748744105
217000,58,2,1,1,1,0,0,13.319,24.17827298,41.35572139,11.2,0.933010475475705,0.249123411815224,1.03488549663439,1.69475329394224,0.0739171284396985,0.487386993397016
270000,105,3,1,1,1,1,1,15.381,26.4957265,48.93333333,9.65,0.52785033557693,0.208596787621367,0.781103371547472,2.32562964416284,0.401017072587089,0.144848921038515
420000,95,2,0,1,0,0,1,21.257,24.48340639,61.97183099,16.34,0.878464277844108,0.861094627346103,0.238949783857304,2.3941957431875,0.259991958273168,0.0767592091821543
258000,94,3,1,2,0,0,1,17.765,17.81888997,61.1299435,4.14,1.20194560618218,0.690115998568464,0.341091963868441,1.01516174276002,0.131478138972002,1.11451256014119
149000,54,2,0,1,1,0,0,14.467,17.0261067,54.23076923,16.91,1.23463677354475,1.11375287738139,0.244979169074994,2.01216860037158,0.280203221285555,0.360355251911731
242000,92,2,1,1,0,0,1,15.874,6.774361647,71.522694,5.99,0.860556277116945,1.36529025804138,2.02105358259685,0.703551517585112,0.11857774374745,0.591294068260493
495000,160,4,0,3,1,1,1,20.37,28.44500632,57.84447476,10.75,1.19181420292664,0.860312268555627,0.091066339932385,2.19621482442751,0.128486652345228,0.134445980353371
160000,76,3,1,1,0,0,0,13.319,24.17827298,41.35572139,11.2,0.985427532046137,0.0929284006554121,1.23717452244574,1.50227750936175,0.160707519591364,0.674419207091832
495000,160,4,0,3,1,1,1,20.37,28.44500632,57.84447476,10.75,1.21000397857509,0.853711383816682,0.109122458323064,2.18141351507393,0.134531684174478,0.134041816647883
530000,108,4,1,2,0,0,1,23.709,27.27727728,72.66272189,4.85,0.197212790072451,0.203401516307508,0.319498256138428,1.44038314094938,0.0599222463113995,0.408316121313599
218000,72,3,1,1,1,0,0,17.153,21.77419355,61.02204409,11.11,0.485090131944842,0.559342467856324,0.152062910009262,2.6563182531803,0.524673110310468,0.556248409021972
249000,72,2,1,1,0,0,0,15.381,26.4957265,48.93333333,9.65,0.567245143574742,0.306619989248209,0.743900793693631,2.42374460788241,0.461091549215404,0.243373507155343
329600,149,3,1,3,1,0,1,16.67,23.45938375,63.33072713,17.79,0.613798475996923,0.887392576666365,0.0933893852902997,1.96059130552027,0.184660648192009,0.945517576279371
249000,72,2,1,1,0,0,0,15.381,26.4957265,48.93333333,9.65,0.55768121239678,0.276908142899631,0.749909677516119,2.39313887083323,0.439405739780208,0.212939816216675
305000,110,4,1,2,0,0,0,20.732,28.76857749,62.19081272,9.34,1.09729441871208,0.643551126957876,0.364808481983466,2.12177528940504,0.027875208992717,0.0233469941023535
305000,110,4,1,2,0,0,0,20.732,28.76857749,62.19081272,9.34,1.09729441871208,0.643551126957876,0.364808481983466,2.12177528940504,0.027875208992717,0.0233469941023535
175000,82,2,0,1,1,1,1,9.229,23.16205534,22.82900627,16.52,0.964963537416003,0.433060430699963,1.07556893198537,1.30687341954777,0.0642610707081694,0.705358791797398
97900,48,1,1,1,0,0,0,22.275,21.04909213,66.16314199,5.85,0.498548429039624,1.60562101238081,1.7245302999627,0.344776832274086,0.318629886885795,0.156670963850392
199000,61,1,1,1,1,0,0,21.257,24.48340639,61.97183099,16.34,1.02638820302456,0.866414438185905,0.0949602238296786,2.28526735495318,0.209686000435234,0.199157870958692
360000,158,4,1,2,0,1,1,17.104,25.81227437,64.4989339,4.33,0.834432894161919,0.254577906393737,0.435611965452421,2.72908834974823,0.446924389954432,0.455440863742941
