"price,""size"",""rooms"",""elevator"",""bathrooms"",""air_cond"",""balcony"",""terrace"",""income"",""longevity"",""higher_stud"",""foreign"",""hospital"",""subway"",""university"",""intercity_bus"",""local_bus "",""flood"""
170000,67,2,1,1,1,0,0,16.056,24.42839952,45.28,2.65,0.322558380617311,2.09718009218584,0.761683552991332,2.48197360189121,0.851878055991599,1.80460984088883
500000,150,4,1,3,1,0,1,14.505,19.61367013,43.16,2.45,0.425459622062893,1.92968184851044,0.825032971328658,2.36040968222246,0.701611170084142,1.95656642401054
71000,74,2,0,1,0,1,0,7.11,16.52941176,7.37,13.35,0.171069740445042,1.5263017382193,1.11030663312019,1.64755613596425,0.387923804863328,2.15818388804461
425000,112,2,1,2,1,0,0,21.885,25.97741095,61.04,8.77,0.491122348823848,0.776196626455981,0.50833284853044,0.750098290980456,1.05916271371339,0.542289925399679
295000,102,3,0,1,0,1,1,14.679,28.83939039,42.65,5.04,0.237701737567682,2.00782452230656,0.363661091312849,2.23521628870026,0.857109663547218,1.53853563145473
165000,59,2,1,1,0,0,1,12.285,23.61495845,28.64,8.52,0.722626221198197,0.796781937324866,0.737163576938085,2.04297811067504,0.77623559831899,2.75622020263107
139000,32,1,0,1,0,0,0,18.078,16.20921802,58.56,3.73,0.266519960210672,2.02915050293266,0.10860698603831,2.13537507815366,0.646628656258657,1.34126095887688
204000,101,3,1,2,0,0,1,14.158,18.99358658,37.12,3.16,1.42956265517307,3.25255816703361,3.47506230636003,0.828449837362243,0.449132399393973,6.71311785979607
189500,67,2,0,1,0,0,0,22.419,34.65968586,64.57,1.26,0.699143626984727,0.2630305477174,0.316012625698992,0.394273704923771,0.0528893880372091,0.98919013556873
309850,95,3,0,2,1,1,0,17.255,26.11570248,52.45,5.42,0.334533971365317,0.409368256926904,0.403121925953167,1.27878747994202,0.386519726885395,0.546840472578641
216000,103,4,0,1,0,0,1,16.367,21.09589041,52.53,6.44,0.419181128643908,2.21584873147242,0.230158790904867,2.34794427770765,0.601078936566588,1.26950145124146
159900,58,2,0,1,1,0,0,17.785,24.35008666,49.66,7.63,0.279303865302576,0.146556857282292,0.329431437892996,1.57433704756317,0.177602945667158,0.898260030728648
309990,108,4,1,2,1,1,0,12.697,28.08290155,29.4,2.18,0.620188355079708,1.94514811831439,1.37114991550406,2.58002844319195,0.237563046197729,2.4652779525124
199000,84,3,1,2,1,0,0,9.518,5.655836342,23.79,2.05,1.0009466305662,4.72649083452574,4.77809440075247,0.949781091271955,1.97036355720055,6.30739559306205
398000,122,4,1,2,0,0,0,17.255,26.11570248,52.45,5.42,0.196339224759766,0.347745644051568,0.247952014383205,1.43502554866693,0.262993610133042,0.525902672941808
240000,70,2,0,1,1,0,1,16.944,14.56102784,59.09,7.71,0.304069301847226,2.08515716395853,0.331665296680856,1.84329986028911,0.456199636771955,1.0402263676256
343900,121,3,1,2,1,1,1,17.449,31.95718654,53.64,2.75,0.280491489770644,1.8962036972335,0.206100293597624,1.95086795173766,0.697740822537198,1.36106493120758
270000,90,3,0,2,1,0,1,16.939,22.80348759,50.59,8.52,0.404045809029063,1.09129147476483,1.04448585994567,1.1779913534322,0.636442093236803,1.76353530297472
360000,91,3,1,2,1,0,1,14.841,27.8366112,42.08,6.58,0.141690794641316,0.521242943367772,0.662911023737926,1.29283484864115,0.534939123051079,0.794488422083663
468000,130,3,1,2,0,0,0,20.04,22.6523888,63.81,3.38,0.566786958671781,0.639998078730476,0.494859446425377,1.64232980259793,0.502194726513444,0.554533897601894
330000,131,3,1,2,1,0,1,16.156,7.085427136,51.91,2.06,0.809807616792995,3.28572463682646,3.44179682683795,1.02199715383943,0.949561710427581,6.34732681835181
220000,45,1,0,1,1,0,0,18.313,18.44734819,58.86,10.76,0.387033147364765,1.36993706340031,0.505126087609378,1.31143327011044,1.14143555245083,1.38640042512032
220000,70,2,1,2,1,0,1,16.133,13.37325349,52.73,8.94,0.748731532335039,2.59427155132247,0.908911018896223,2.17156688271306,0.347183122496052,1.39055473760376
450000,165,4,1,2,1,1,1,19.7,40.96301465,52.98,1.19,0.245138015664654,1.28958537733716,0.821860800779789,1.39180046301231,0.758534373875409,1.83594014777618
286000,94,3,1,2,1,0,0,12.608,23.97260274,31,11.39,0.690992675729069,0.826979398602327,0.890941398137043,1.88902150619005,0.719971040136983,2.67700927231876
325000,77,2,1,2,1,0,1,20.637,28.55895197,58.25,6.03,0.280118721214185,0.265853446810545,0.29243025395104,1.39266319364908,0.292318884485196,2.11832851619008
565000,171,3,1,4,1,0,0,17.293,28.68937049,47.59,11.46,0.810653319773611,1.44498056475347,0.287110580872129,1.60701085499544,0.0639387427209773,0.386032832991138
365800,95,1,1,2,1,0,0,18.17,21.57598499,58.54,8.54,0.819400367713882,1.7988349544475,0.767160855659988,0.855081700327493,0.787906128511726,0.251676146865645
190000,73,2,0,1,0,0,0,15.985,18.63057325,53.29,10.19,0.81468499008593,2.18122994556289,0.440904189729026,1.36732219920114,0.298489013765004,0.224688214527207
265000,82,3,1,1,0,0,0,20.814,23.55117139,58.44,2.1,0.595543542153576,0.383528101839973,0.626871361723827,1.76671542301713,0.194602642677488,2.58409912945143
495000,148,4,1,2,0,0,1,18.521,22.88,54.35,9.92,0.3996405192806,0.143562071200925,0.33775592648194,1.47820110634817,0.295984967804102,2.24771266117645
485000,145,4,0,2,0,0,1,17.957,22.49417249,48.05,11.19,0.271571004940152,0.696490508202605,0.466206572879679,1.60309318385232,0.497576021927378,2.10682942897074
229000,94,3,1,1,0,1,0,14.505,19.61367013,43.16,2.45,0.347917683911215,2.01209286784488,0.830732005252571,2.43625117943899,0.737274333404868,1.91817039251712
115000,71,3,0,1,0,0,0,10.225,18.58282496,23.48,14.08,0.425059583500638,1.78576732500835,0.811365521136565,1.7860152895822,0.58769013000045,1.90353992727834
175000,53,1,0,1,1,0,0,17.34,17.60423561,50.96,5.96,0.202393561988223,1.29574967204037,1.13905113565325,0.513845309926573,0.192037653742643,0.165313376723275
310000,88,3,0,1,0,1,0,17.471,21.07438017,55.37,5.37,0.188752220513102,1.62454521719122,0.649703893826028,1.53269652399338,0.955273248713224,1.40193504360239
380000,123,3,1,1,0,0,1,16.367,21.09589041,52.53,6.44,0.422590117154879,2.20152161935462,0.149363307543511,2.29169924538994,0.53166645488174,1.21750459518768
170000,120,3,1,2,0,0,0,11.591,30.19762846,22.84,8.46,0.55010399434038,0.603417214331842,0.523137764642419,1.69994163201958,0.472867833585338,3.70032315304868
320000,90,2,0,1,1,0,0,25.06,30.33800495,58.24,9.4,0.900842807137422,0.432334480303379,0.514031908516257,0.845787629229112,0.716923142439652,0.519531015343546
305000,81,3,0,2,1,1,0,18.313,18.44734819,58.86,10.76,0.400397384417812,1.18348210031576,0.690758181542131,1.09135842976509,1.03154667195686,1.41525268841049
210000,79,3,1,1,0,0,1,20.203,26.78381257,59.39,4.95,0.21695144903123,1.58423009577634,0.53775581622148,1.79839748800643,0.778208682806441,1.74017333084405
280000,74,3,1,1,0,1,0,20.965,26.89606742,61.34,3.16,0.369387472246717,0.348075615679305,0.403486238371364,1.28531329463392,0.285555596039735,2.02666710884586
260000,88,4,0,2,0,0,1,16.056,24.42839952,45.28,2.65,0.418127109978484,2.10361425209732,0.544579790177862,2.39880492598148,0.981377664882528,1.61720771583779
92000,57,2,0,1,1,0,0,5.638,12.48407643,6.76,33.76,0.435270901902071,0.262271152998961,0.477174031735177,2.26904393369269,0.452791739062832,3.1418773603395
240000,73,2,0,1,1,0,0,21.254,26.98541329,62.27,7.29,0.350413363218766,1.35839521512291,0.582607459488472,0.469475714001592,0.859556980814985,0.490864126272706
75000,67,2,0,1,0,0,0,8.224,19.75417032,9.17,4.04,0.68092201997565,3.88980802385382,4.15168448787681,1.38810848288072,0.315495366535168,6.91614163417712
79000,54,4,0,1,0,0,0,6.765,12.51819505,8.54,28.46,0.304837175653568,0.233257409145342,0.345986183440581,2.23155315917395,0.569317078045135,3.16914132658683
295000,128,4,0,2,0,0,0,17.554,23.30369677,42.56,14.13,0.309153376365352,2.57788408005975,0.160849477418149,1.92858318606858,0.261412288277026,0.351128777924899
200000,63,3,0,1,0,0,0,12.253,20,34.18,7.13,0.205189535564235,0.474986734317758,0.649355475247238,1.42850557185736,0.456115252582105,0.931977338636794
105000,87,3,1,1,0,0,0,6.3,14.14602347,5.72,16.1,0.48431881094577,3.37239706533824,1.07219018557209,1.83608433652894,0.375385159539779,0.857289556318125
63000,48,2,0,1,0,0,0,6.867,13.63339856,9.55,29.35,0.222304404701368,0.402503852618705,0.228024288058106,2.06662103741787,0.673364647507857,3.33599218698116
29000,40,2,0,1,0,0,0,11.305,27.27272727,20.98,6.91,0.23385211661696,0.262002207374316,1.13511688039969,1.37856760038054,1.08137048312166,3.46867191317107
495000,160,5,1,2,0,0,0,22.336,25.01828822,62.09,9.58,0.17115937988493,1.0495730685499,0.901114304248266,0.294885773611522,0.591621300997969,0.187597624838566
225000,103,3,1,2,1,1,1,17.467,5.078336035,70.53,3.73,0.889685941463695,3.05091160490726,1.1552083730346,2.92254249985674,0.249271674497876,2.21525572015539
321000,111,4,0,2,0,1,1,18.068,23.69207773,54.69,6.2,0.387678580332687,1.52462218330712,0.750185207661409,0.323348545146697,0.637356772364401,0.229083815226072
259000,75,2,0,1,1,0,0,25.06,30.33800495,58.24,9.4,0.900557660757013,0.222152910889213,0.423782620601025,1.01596527053485,0.417123136643288,0.0618359109284142
